Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,21027
Base Time Seconds,1744929068
Base Time Fractional,.628364260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
73,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.879821200
74,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.883312820
75,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242189755,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.886805340
76,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.890308120
77,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.893807720
78,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.897288800
79,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242189755,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.900787480
80,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.904274160
81,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107195156,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.907771860
82,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.911266000
83,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.914755960
84,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242171274,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.918236720
85,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.921736860
86,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.925220400
87,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.928716080
88,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.932222320
89,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.935718900
90,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.939203220
91,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.942714820
92,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.946199000
93,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.949700220
94,7.437442036462e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242152648,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.953199160
95,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.956693460
96,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.960189220
